"Calendar year (#3)","First Nations status (#3)","Cause of injury = traffic (#3)","Hospitalisations (#3)","Bed days excluding died in hospitals within 30 days (#3)"
2011,"First Nations people","Traffic",183,1161
2011,"First Nations people","Traffic",210,1317
2011,"First Nations people","Traffic",156,1105
2011,"Non-Indigenous","Traffic",10214,44524
2011,"Non-Indigenous","Traffic",4791,24534
2011,"Non-Indigenous","Traffic",370,1822
2011,"First Nations people","Traffic",185,996
2011,"First Nations people","Traffic",245,1056
2011,"First Nations people","Traffic",174,878
2011,"Non-Indigenous","Traffic",10771,44760
2011,"Non-Indigenous","Traffic",4926,23431
2011,"Non-Indigenous","Traffic",419,1913
2012,"First Nations people","Traffic",202,1059
2012,"First Nations people","Traffic",239,1213
2012,"First Nations people","Traffic",203,1305
2012,"Non-Indigenous","Traffic",10497,41747
2012,"Non-Indigenous","Traffic",4933,23871
2012,"Non-Indigenous","Traffic",371,1665
2012,"First Nations people","Traffic",227,1170
2012,"First Nations people","Traffic",306,1224
2012,"First Nations people","Traffic",223,1202
2012,"Non-Indigenous","Traffic",10361,45401
2012,"Non-Indigenous","Traffic",4603,22708
2012,"Non-Indigenous","Traffic",431,2159
2013,"First Nations people","Traffic",204,1172
2013,"First Nations people","Traffic",263,1309
2013,"First Nations people","Traffic",209,1169
2013,"Non-Indigenous","Traffic",10909,42680
2013,"Non-Indigenous","Traffic",4425,20743
2013,"Non-Indigenous","Traffic",372,1591
2013,"First Nations people","Traffic",242,941
2013,"First Nations people","Traffic",277,1491
2013,"First Nations people","Traffic",211,1462
2013,"Non-Indigenous","Traffic",11315,43040
2013,"Non-Indigenous","Traffic",4793,21628
2013,"Non-Indigenous","Traffic",393,1658
2014,"First Nations people","Traffic",230,1150
2014,"First Nations people","Traffic",309,1411
2014,"First Nations people","Traffic",183,1052
2014,"Non-Indigenous","Traffic",11251,41792
2014,"Non-Indigenous","Traffic",4594,20775
2014,"Non-Indigenous","Traffic",366,1891
2014,"First Nations people","Traffic",256,1159
2014,"First Nations people","Traffic",256,1445
2014,"First Nations people","Traffic",209,1355
2014,"Non-Indigenous","Traffic",11321,41091
2014,"Non-Indigenous","Traffic",4764,21247
2014,"Non-Indigenous","Traffic",371,1752
2015,"First Nations people","Traffic",238,904
