"Calendar year (#3)","ABS remoteness area","First Nations status (#3)","Hospitalisations (#3)","Bed days excluding died in hospitals within 30 days (#3)","total_in_a_year_hos","total_in_a_year_bed","Hos_percentage","Bed_percentage"
2011,"Major Cities","First Nations people",183,1161,32644,147497,0.005605930645754197,0.007871346535861747
2011,"Regional","First Nations people",210,1317,32644,147497,0.006433035167258914,0.008928995166003376
2011,"Remote","First Nations people",156,1105,32644,147497,0.0047788261242494795,0.007491677796836546
2011,"Major Cities","Non-Indigenous",10214,44524,32644,147497,0.312890577135155,0.30186376672067905
2011,"Regional","Non-Indigenous",4791,24534,32644,147497,0.14676510231589265,0.16633558648650482
2011,"Remote","Non-Indigenous",370,1822,32644,147497,0.011334395294694278,0.012352793616141345
2011,"Major Cities","First Nations people",185,996,32644,147497,0.005667197647347139,0.006752679715519638
2011,"Regional","First Nations people",245,1056,32644,147497,0.0075052076951354005,0.007159467650189495
2011,"Remote","First Nations people",174,878,32644,147497,0.0053302291385859575,0.005952663444002251
2011,"Major Cities","Non-Indigenous",10771,44760,32644,147497,0.3299534370787894,0.30346379926371386
2011,"Regional","Non-Indigenous",4926,23431,32644,147497,0.15090062492341624,0.1588574682874906
2011,"Remote","Non-Indigenous",419,1913,32644,147497,0.012835436833721358,0.012969755317057297
2012,"Major Cities","First Nations people",202,1059,32596,144724,0.006197079396244938,0.007317376523589729
2012,"Regional","First Nations people",239,1213,32596,144724,0.007332187998527427,0.008381470937785025
2012,"Remote","First Nations people",203,1305,32596,144724,0.006227758007117438,0.00901716370470689
2012,"Major Cities","Non-Indigenous",10497,41747,32596,144724,0.32203337832862927,0.2884594123987728
2012,"Regional","Non-Indigenous",4933,23871,32596,144724,0.151337587434041,0.16494154390425914
2012,"Remote","Non-Indigenous",371,1665,32596,144724,0.011381764633697387,0.011504657140488102
2012,"Major Cities","First Nations people",227,1170,32596,144724,0.0069640446680574305,0.008084353666288936
2012,"Regional","First Nations people",306,1224,32596,144724,0.009387654926984906,0.008457477681656118
2012,"Remote","First Nations people",223,1202,32596,144724,0.006841330224567432,0.008305464193913932
2012,"Major Cities","Non-Indigenous",10361,45401,32596,144724,0.3178610872499693,0.31370747077195216
2012,"Regional","Non-Indigenous",4603,22708,32596,144724,0.1412136458461161,0.15690555816588816
2012,"Remote","Non-Indigenous",431,2159,32596,144724,0.013222481286047368,0.014918050910698985
2013,"Major Cities","First Nations people",204,1172,33613,138884,0.006069080415315503,0.008438697042135884
2013,"Regional","First Nations people",263,1309,33613,138884,0.007824353672686163,0.009425131764638115
2013,"Remote","First Nations people",209,1169,33613,138884,0.0062178323862791185,0.008417096281789119
2013,"Major Cities","Non-Indigenous",10909,42680,33613,138884,0.3245470502484158,0.30730681719996544
2013,"Regional","Non-Indigenous",4425,20743,33613,138884,0.1316454943027995,0.14935485729097664
2013,"Remote","Non-Indigenous",372,1591,33613,138884,0.011067146639692976,0.011455603237233951
2013,"Major Cities","First Nations people",242,941,33613,138884,0.007199595394638979,0.006775438495435039
2013,"Regional","First Nations people",277,1491,33613,138884,0.008240859191384287,0.010735577892341811
2013,"Remote","First Nations people",211,1462,33613,138884,0.0062773331746645645,0.01052677054232309
2013,"Major Cities","Non-Indigenous",11315,43040,33613,138884,0.33662571029066135,0.30989890844157714
2013,"Regional","Non-Indigenous",4793,21628,33613,138884,0.1425936393657216,0.1557270815932721
2013,"Remote","Non-Indigenous",393,1658,33613,138884,0.01169190491774016,0.011938020218311685
2014,"Major Cities","First Nations people",230,1150,34110,136120,0.0067428906479038405,0.008448427857772554
2014,"Regional","First Nations people",309,1411,34110,136120,0.009058927000879508,0.010365853658536586
2014,"Remote","First Nations people",183,1052,34110,136120,0.005364995602462621,0.007728474875110197
2014,"Major Cities","Non-Indigenous",11251,41792,34110,136120,0.3298446203459396,0.30702321481046135
2014,"Regional","Non-Indigenous",4594,20775,34110,136120,0.1346819114629141,0.15262268586541286
2014,"Remote","Non-Indigenous",366,1891,34110,136120,0.010729991204925241,0.013892153981780783
2014,"Major Cities","First Nations people",256,1159,34110,136120,0.007505130460275579,0.008514545988833382
2014,"Regional","First Nations people",256,1445,34110,136120,0.007505130460275579,0.010615633264766382
2014,"Remote","First Nations people",209,1355,34110,136120,0.0061272354148343595,0.009954451954158096
2014,"Major Cities","Non-Indigenous",11321,41091,34110,136120,0.3318968044561712,0.3018733470467235
2014,"Regional","Non-Indigenous",4764,21247,34110,136120,0.13966578715919084,0.156090214516603
2014,"Remote","Non-Indigenous",371,1752,34110,136120,0.0108765757842275,0.012870996179841316
2015,"Major Cities","First Nations people",238,904,35557,173601,0.006693478077453103,0.005207343275672375
2015,"Regional","First Nations people",291,898,35557,173601,0.008184042523272492,0.005172781262780745
2015,"Remote","First Nations people",208,1173,35557,173601,0.005849762353404393,0.006756873520313823
2015,"Major Cities","Non-Indigenous",11713,41282,35557,173601,0.3294147425260849,0.23779816936538384
2015,"Regional","Non-Indigenous",4812,20455,35557,173601,0.13533200213741317,0.11782766228305136
2015,"Remote","Non-Indigenous",358,1583,35557,173601,0.010068340973647946,0.009118611067908596
2015,"Major Cities","First Nations people",270,982,35557,173601,0.007593441516438395,0.005656649443263576
2015,"Regional","First Nations people",322,1829,35557,173601,0.009055882104789493,0.010535653596465458
2015,"Remote","First Nations people",253,1661,35557,173601,0.007115335939477459,0.009567917235499795
2015,"Major Cities","Non-Indigenous",11884,68361,35557,173601,0.33422392215316254,0.3937822938807956
2015,"Regional","Non-Indigenous",4872,32528,35557,173601,0.13701943358551058,0.18737219255649448
2015,"Remote","Non-Indigenous",336,1945,35557,173601,0.009449616109345558,0.01120385251237032
2016,"Major Cities","First Nations people",257,999,37567,209000,0.006841110549152181,0.004779904306220096
2016,"Regional","First Nations people",327,1923,37567,209000,0.008704448052812308,0.009200956937799043
2016,"Remote","First Nations people",210,1209,37567,209000,0.005590012510980381,0.005784688995215311
2016,"Major Cities","Non-Indigenous",12724,67750,37567,209000,0.3387015199510208,0.3241626794258373
2016,"Regional","Non-Indigenous",4904,29741,37567,209000,0.13054010168498947,0.14230143540669857
2016,"Remote","Non-Indigenous",335,1697,37567,209000,0.008917400910373467,0.008119617224880383
2016,"Major Cities","First Nations people",294,1560,37567,209000,0.007826017515372534,0.007464114832535885
2016,"Regional","First Nations people",321,1492,37567,209000,0.008544733409641441,0.007138755980861244
2016,"Remote","First Nations people",244,1694,37567,209000,0.0064950621556153,0.008105263157894737
2016,"Major Cities","Non-Indigenous",12666,66920,37567,209000,0.33715761173370246,0.32019138755980864
2016,"Regional","Non-Indigenous",4942,32243,37567,209000,0.13155162775840498,0.15427272727272728
2016,"Remote","Non-Indigenous",343,1772,37567,209000,0.009130353767934623,0.008478468899521531
2017,"Major Cities","First Nations people",302,1280,37818,202080,0.007985615315458248,0.006334125098970704
2017,"Regional","First Nations people",345,1636,37818,202080,0.00912264001269237,0.008095803642121932
2017,"Remote","First Nations people",174,1267,37818,202080,0.0046009836585752814,0.006269794140934284
2017,"Major Cities","Non-Indigenous",12805,63829,37818,202080,0.3385953778623936,0.31586005542359463
2017,"Regional","Non-Indigenous",5036,30468,37818,202080,0.13316410175048918,0.15077197149643706
2017,"Remote","Non-Indigenous",339,1991,37818,202080,0.00896398540377598,0.009852533650039588
2017,"Major Cities","First Nations people",315,1363,37818,202080,0.008329366968110423,0.006744853523357086
2017,"Regional","First Nations people",359,1565,37818,202080,0.009492834100163943,0.007744457640538401
2017,"Remote","First Nations people",219,1501,37818,202080,0.005790893225448199,0.007427751385589865
2017,"Major Cities","Non-Indigenous",12483,63570,37818,202080,0.3300809138505474,0.31457838479809974
2017,"Regional","Non-Indigenous",5127,32073,37818,202080,0.13557036331905442,0.1587143705463183
2017,"Remote","Non-Indigenous",314,1537,37818,202080,0.008302924533291026,0.007605898653998417
2018,"Major Cities","First Nations people",287,1052,38139,197307,0.00752510553501665,0.005331792587186465
2018,"Regional","First Nations people",386,2031,38139,197307,0.0101208736463987,0.010293603369368548
2018,"Remote","First Nations people",210,1076,38139,197307,0.0055061747817195,0.005453430440886537
2018,"Major Cities","Non-Indigenous",12789,60888,38139,197307,0.3353260442067175,0.3085952348370813
2018,"Regional","Non-Indigenous",5059,30203,38139,197307,0.13264637247961406,0.15307617063763576
2018,"Remote","Non-Indigenous",344,1320,38139,197307,0.0090196386900548,0.006690081953503931
2018,"Major Cities","First Nations people",355,1445,38139,197307,0.009308057369097249,0.007323612441525136
2018,"Regional","First Nations people",411,2340,38139,197307,0.01077637064422245,0.011859690735756968
2018,"Remote","First Nations people",256,2063,38139,197307,0.0067122892577152,0.010455787174301977
2018,"Major Cities","Non-Indigenous",12447,60147,38139,197307,0.3263588452764886,0.3048396661040916
2018,"Regional","Non-Indigenous",5219,33299,38139,197307,0.13684155326568603,0.16876745376494498
2018,"Remote","Non-Indigenous",376,1443,38139,197307,0.009858674847269199,0.007313475953716796
2019,"Major Cities","First Nations people",357,1945,38196,196921,0.009346528432296575,0.00987705729708868
2019,"Regional","First Nations people",327,1452,38196,196921,0.008561105874960728,0.0073735152675438375
2019,"Remote","First Nations people",195,913,38196,196921,0.005105246622683003,0.004636377024288928
2019,"Major Cities","Non-Indigenous",12904,62332,38196,196921,0.3378364226620589,0.3165330259342579
2019,"Regional","Non-Indigenous",5038,29554,38196,196921,0.13189862812859984,0.15008048913015878
2019,"Remote","Non-Indigenous",309,1387,38196,196921,0.008089852340559221,0.007043433661214396
2019,"Major Cities","First Nations people",351,2419,38196,196921,0.009189443920829406,0.012284113934014148
2019,"Regional","First Nations people",342,1777,38196,196921,0.008953817153628653,0.009023923299191047
2019,"Remote","First Nations people",252,1654,38196,196921,0.006597549481621112,0.008399307336444565
2019,"Major Cities","Non-Indigenous",12598,61781,38196,196921,0.32982511257723324,0.313734949548296
2019,"Regional","Non-Indigenous",5194,30109,38196,196921,0.13598282542674625,0.15289887823035633
2019,"Remote","Non-Indigenous",329,1598,38196,196921,0.008613467378783119,0.008114929337145353
2020,"Major Cities","First Nations people",377,1642,36679,179104,0.010278360914964967,0.009167857780954082
2020,"Regional","First Nations people",407,2411,36679,179104,0.011096267619073584,0.013461452563873504
2020,"Remote","First Nations people",191,1206,36679,179104,0.005207339349491535,0.006733517956047883
2020,"Major Cities","Non-Indigenous",11156,53928,36679,179104,0.30415223970119143,0.30109880293014113
2020,"Regional","Non-Indigenous",4604,26060,36679,179104,0.12552141552386925,0.1455020546721458
2020,"Remote","Non-Indigenous",295,1294,36679,179104,0.008042749257068077,0.007224852599606932
2020,"Major Cities","First Nations people",433,2365,36679,179104,0.01180512009596772,0.013204618545649456
2020,"Regional","First Nations people",539,3004,36679,179104,0.014695057117151503,0.016772378059674825
2020,"Remote","First Nations people",313,1512,36679,179104,0.008533493279533249,0.008442022512060032
2020,"Major Cities","Non-Indigenous",12667,55290,36679,179104,0.34534747403146215,0.3087033232088619
2020,"Regional","Non-Indigenous",5332,28858,36679,179104,0.14536928487690504,0.16112426299803467
2020,"Remote","Non-Indigenous",365,1534,36679,179104,0.00995119823332152,0.008564856172949794
