"Calendar year","Age group","age_grp_total_per_year","percentage_in_a_year"
2011,"0-7",404014,0.04946730820113837
2011,"17-25",537383,0.06579695377648384
2011,"26-39",1174874,0.1438510899511013
2011,"40-64",2822209,0.34555011066702274
2011,"65-74",1397326,0.17108802145337507
2011,"75+",1615221,0.19776699574755063
2011,"8-16",216258,0.02647854068661428
2011,"Missing",8,0.0000009795167137997866
2012,"0-7",417626,0.049741884752274396
2012,"17-25",546886,0.06513756419531432
2012,"26-39",1195018,0.14233416413942965
2012,"40-64",2859107,0.34053763627844286
2012,"65-74",1479790,0.17625230143134796
2012,"75+",1680575,0.2001670584866688
2012,"8-16",216840,0.025827008590660495
2012,"Missing",20,0.0000023821258615255942
2013,"0-7",425151,0.04986948805041199
2013,"17-25",543915,0.06380030293458051
2013,"26-39",1199470,0.14069578768914498
2013,"40-64",2884696,0.3383699266873917
2013,"65-74",1542441,0.18092570173412628
2013,"75+",1709834,0.20056061547823748
2013,"8-16",219663,0.025766095701568736
2013,"Missing",103,0.000012081724538322703
2014,"0-7",437951,0.04930989387616315
2014,"17-25",550987,0.062036872839987815
2014,"26-39",1236940,0.1392698729565208
2014,"40-64",2982246,0.33577782394060535
2014,"65-74",1639312,0.18457384673153107
2014,"75+",1811206,0.20392778107110146
2014,"8-16",222839,0.02508994714356245
2014,"Missing",124,0.0000139614405279226
2015,"0-7",451985,0.04950011981178817
2015,"17-25",560730,0.061409564879507016
2015,"26-39",1276600,0.1398096241063946
2015,"40-64",3044259,0.3333986420746583
2015,"65-74",1709710,0.18724260726221523
2015,"75+",1856822,0.2033538977381199
2015,"8-16",230844,0.02528138247471139
2015,"Missing",38,0.0000041616526053916615
2016,"0-7",460398,0.048898405686259284
2016,"17-25",578028,0.061391768952117697
2016,"26-39",1340020,0.14232216818426918
2016,"40-64",3120187,0.33139190383753253
2016,"65-74",1779586,0.1890080282311987
2016,"75+",1897987,0.20158327862685374
2016,"8-16",239145,0.02539934845034183
2016,"Missing",48,0.00000509803142702715
2017,"0-7",462471,0.047636450422075115
2017,"17-25",581241,0.05987025798326244
2017,"26-39",1371908,0.14131227131138652
2017,"40-64",3198509,0.32945982646060196
2017,"65-74",1868052,0.19241718179920095
2017,"75+",1981803,0.20413401133437498
2017,"8-16",244346,0.02516866163463734
2017,"Missing",13,0.0000013390544606839704
2018,"0-7",451411,0.045444043628037584
2018,"17-25",586510,0.059044609077493294
2018,"26-39",1414577,0.14240702797056015
2018,"40-64",3258719,0.32805883863599916
2018,"65-74",1938523,0.1951532501112164
2018,"75+",2042427,0.20561338047828237
2018,"8-16",241155,0.02427734003185435
2018,"Missing",15,0.0000015100665566868414
2019,"0-7",466160,0.045527189936358035
2019,"17-25",591418,0.057760424785011574
2019,"26-39",1448581,0.14147464888707623
2019,"40-64",3338536,0.3260557803787734
2019,"65-74",2007731,0.1960836420501846
2019,"75+",2141331,0.2091315924867245
2019,"8-16",245378,0.023964670525578477
2019,"Missing",21,0.0000020509502931686946
2020,"0-7",376579,0.038445553272673905
2020,"17-25",567553,0.057942394813746634
2020,"26-39",1418902,0.14485797782059953
2020,"40-64",3215895,0.3283158714156277
2020,"65-74",1920241,0.19604047932006993
2020,"75+",2070618,0.2113927081073493
2020,"8-16",225309,0.023002156685085692
2020,"Missing",28,0.000002858564847309248
2021,"0-7",439161,0.04154736034466937
2021,"17-25",597108,0.05649012831441051
2021,"26-39",1538898,0.14558931630926014
2021,"40-64",3430259,0.3245238232642361
2021,"65-74",2047072,0.19366573542614895
2021,"75+",2261336,0.21393644165208942
2021,"8-16",256258,0.0242435996529844
2021,"Missing",38,0.0000035950362010684824
