"Calendar year","Road user","cata_total_per_year","total_in_a_year","percentage_cata_in_a_year"
2011,"Bus occupant",214,34033,0.0062880145740898535
2011,"Car driver",10948,34033,0.3216877736314753
2011,"Car passenger",4853,34033,0.14259689125260777
2011,"Car unknown position",889,34033,0.02612170540357888
2011,"Heavy transport driver",455,34033,0.01336937678135927
2011,"Heavy transport passenger",52,34033,0.0015279287750124878
2011,"Heavy transport unknown position",55,34033,0.0016160785120324392
2011,"Motorcyclist",7565,34033,0.22228425351864367
2011,"Other or unknown",610,34033,0.017923779860723417
2011,"Pedal cyclist",5391,34033,0.15840507742485235
2011,"Pedestrian",2754,34033,0.08092145858431522
2011,"Pick-up truck or van occupant",247,34033,0.0072576616813093174
2012,"Bus occupant",217,34024,0.006377850928756172
2012,"Car driver",10806,34024,0.31759934164119447
2012,"Car passenger",4738,34024,0.13925464378086058
2012,"Car unknown position",895,34024,0.0263049612038561
2012,"Heavy transport driver",416,34024,0.012226663531624736
2012,"Heavy transport passenger",47,34024,0.001381377850928756
2012,"Heavy transport unknown position",48,34024,0.0014107688690336232
2012,"Motorcyclist",7728,34024,0.22713378791441335
2012,"Other or unknown",563,34024,0.016547143193040206
2012,"Pedal cyclist",5621,34024,0.16520691276745827
2012,"Pedestrian",2672,34024,0.07853280037620503
2012,"Pick-up truck or van occupant",273,34024,0.008023747942628733
2013,"Bus occupant",226,35001,0.006456958372617925
2013,"Car driver",10942,35001,0.31261963943887316
2013,"Car passenger",4828,35001,0.13793891603097055
2013,"Car unknown position",818,35001,0.0233707608354047
2013,"Heavy transport driver",415,35001,0.011856804091311677
2013,"Heavy transport passenger",40,35001,0.0011428244907288362
2013,"Heavy transport unknown position",29,35001,0.0008285477557784063
2013,"Motorcyclist",8018,35001,0.22907916916659524
2013,"Other or unknown",536,35001,0.015313848175766406
2013,"Pedal cyclist",6262,35001,0.17890917402359932
2013,"Pedestrian",2657,35001,0.07591211679666295
2013,"Pick-up truck or van occupant",230,35001,0.006571240821690809
2014,"Bus occupant",289,35515,0.008137406729550893
2014,"Car driver",11122,35515,0.3131634520625088
2014,"Car passenger",4625,35515,0.13022666478952555
2014,"Car unknown position",728,35515,0.0204983809657891
2014,"Heavy transport driver",377,35515,0.010615233000140785
2014,"Heavy transport passenger",55,35515,0.0015486414191186822
2014,"Heavy transport unknown position",48,35515,0.001351541602139941
2014,"Motorcyclist",8334,35515,0.23466141067154722
2014,"Other or unknown",508,35515,0.014303815289314374
2014,"Pedal cyclist",6636,35515,0.18685062649584683
2014,"Pedestrian",2554,35515,0.07191327608052936
2014,"Pick-up truck or van occupant",239,35515,0.006729550893988455
2015,"Bus occupant",246,37082,0.006633946389083652
2015,"Car driver",12163,37082,0.3280028045952214
2015,"Car passenger",4958,37082,0.13370368372795427
2015,"Car unknown position",812,37082,0.0218974165363249
2015,"Heavy transport driver",444,37082,0.011973464214443666
2015,"Heavy transport passenger",43,37082,0.001159592255002427
2015,"Heavy transport unknown position",23,37082,0.0006202470201175773
2015,"Motorcyclist",8298,37082,0.22377433795372417
2015,"Other or unknown",503,37082,0.013564532657353972
2015,"Pedal cyclist",6716,37082,0.18111212987433256
2015,"Pedestrian",2627,37082,0.07084299660212502
2015,"Pick-up truck or van occupant",249,37082,0.00671484817431638
2016,"Bus occupant",283,38963,0.007263301080512281
2016,"Car driver",13194,38963,0.3386289556758976
2016,"Car passenger",5103,38963,0.13097040782280625
2016,"Car unknown position",808,38963,0.02073762287298206
2016,"Heavy transport driver",403,38963,0.010343146061648231
2016,"Heavy transport passenger",42,38963,0.0010779457433975823
2016,"Heavy transport unknown position",39,38963,0.0010009496188691837
2016,"Motorcyclist",8526,38963,0.21882298590970922
2016,"Other or unknown",620,38963,0.015912532402535737
2016,"Pedal cyclist",6904,38963,0.17719374791468828
2016,"Pedestrian",2743,38963,0.07040012319379925
2016,"Pick-up truck or van occupant",298,38963,0.007648281703154274
2017,"Bus occupant",265,39339,0.006736317649152241
2017,"Car driver",13267,39339,0.3372480235898218
2017,"Car passenger",5102,39339,0.12969317979613107
2017,"Car unknown position",777,39339,0.01975139174864638
2017,"Heavy transport driver",447,39339,0.011362769770456799
2017,"Heavy transport passenger",49,39339,0.0012455832634281501
2017,"Heavy transport unknown position",32,39339,0.0008134421312183838
2017,"Motorcyclist",8739,39339,0.2221459620224205
2017,"Other or unknown",600,39339,0.015252039960344696
2017,"Pedal cyclist",7076,39339,0.17987239126566512
2017,"Pedestrian",2714,39339,0.06899006075395918
2017,"Pick-up truck or van occupant",271,39339,0.006888838048755687
2018,"Bus occupant",247,39590,0.006238949229603435
2018,"Car driver",13595,39590,0.34339479666582473
2018,"Car passenger",5206,39590,0.1314978529931801
2018,"Car unknown position",864,39590,0.021823692851730234
2018,"Heavy transport driver",437,39590,0.011038140944683
2018,"Heavy transport passenger",69,39590,0.0017428643596867897
2018,"Heavy transport unknown position",47,39590,0.001187168476888103
2018,"Motorcyclist",8623,39590,0.21780752715332155
2018,"Other or unknown",603,39590,0.015231118969436727
2018,"Pedal cyclist",6959,39590,0.17577671129072997
2018,"Pedestrian",2661,39590,0.06721394291487749
2018,"Pick-up truck or van occupant",279,39590,0.007047234150037889
2019,"Bus occupant",255,39866,0.006396428033913611
2019,"Car driver",13482,39866,0.33818291275773843
2019,"Car passenger",4989,39866,0.1251442331811569
2019,"Car unknown position",797,39866,0.019991973109918227
2019,"Heavy transport driver",425,39866,0.010660713389856018
2019,"Heavy transport passenger",52,39866,0.0013043696382882657
2019,"Heavy transport unknown position",47,39866,0.0011789494807605478
2019,"Motorcyclist",8924,39866,0.22384989715547082
2019,"Other or unknown",620,39866,0.015552099533437015
2019,"Pedal cyclist",7302,39866,0.18316359805347915
2019,"Pedestrian",2713,39866,0.06805297747453971
2019,"Pick-up truck or van occupant",260,39866,0.006521848191441328
2020,"Bus occupant",173,37966,0.004556708634040984
2020,"Car driver",12217,37966,0.3217879155033451
2020,"Car passenger",4344,37966,0.11441816362008113
2020,"Car unknown position",731,37966,0.019254069430543117
2020,"Heavy transport driver",412,37966,0.010851814781646736
2020,"Heavy transport passenger",48,37966,0.0012642891007743772
2020,"Heavy transport unknown position",40,37966,0.0010535742506453142
2020,"Motorcyclist",8684,37966,0.22873096981509772
2020,"Other or unknown",582,37966,0.015329505346889321
2020,"Pedal cyclist",8332,37966,0.21945951640941896
2020,"Pedestrian",2103,37966,0.0553916662276774
2020,"Pick-up truck or van occupant",300,37966,0.007901806879839856
2021,"Bus occupant",169,39505,0.004277939501328946
2021,"Car driver",13327,39505,0.33734970256929503
2021,"Car passenger",4495,39505,0.1137830654347551
2021,"Car unknown position",717,39505,0.018149601316289076
2021,"Heavy transport driver",383,39505,0.0096949753195798
2021,"Heavy transport passenger",56,39505,0.0014175420832805974
2021,"Heavy transport unknown position",36,39505,0.0009112770535375269
2021,"Motorcyclist",8883,39505,0.22485761296038476
2021,"Other or unknown",601,39505,0.015213264143779269
2021,"Pedal cyclist",8163,39505,0.20663207188963423
2021,"Pedestrian",2334,39505,0.059081128971016326
2021,"Pick-up truck or van occupant",341,39505,0.008631818757119353
