"calendar year","state or territory","count of cases excluding died in hospitals within 30 days","percentage_in_a_year"
2011,"NSW",5223,0.15566417309927577
2011,"Vic",4585,0.13664947992727924
2011,"Qld",3017,0.08991744404375168
2011,"WA",1724,0.05138139659642953
2011,"SA",1147,0.034184722677554916
2011,"Tas",247,0.007361487795428129
2011,"ACT",283,0.0084344171907132
2011,"NT",213,0.006348165588770006
2011,"NSW",5395,0.16079039132119333
2011,"Vic",4741,0.1412988406401812
2011,"Qld",3305,0.09850087920603225
2011,"WA",1718,0.05120257503054868
2011,"SA",1212,0.03612195630793073
2011,"Tas",246,0.007331684201114654
2011,"ACT",254,0.007570112955622448
2011,"NT",243,0.007242273418174232
2012,"NSW",5430,0.16223968448414952
2012,"Vic",4669,0.13950222594042247
2012,"Qld",3166,0.09459499835668828
2012,"WA",1692,0.05055424422600018
2012,"SA",1107,0.03307538319041501
2012,"Tas",271,0.008097045026741164
2012,"ACT",313,0.009351937613911381
2012,"NT",215,0.006423854910514207
2012,"NSW",5691,0.17003794556156443
2012,"Vic",3429,0.10245301622396845
2012,"Qld",3647,0.10896650631928052
2012,"WA",1801,0.05381098927365622
2012,"SA",1204,0.03597358749887956
2012,"Tas",265,0.007917774657145419
2012,"ACT",288,0.008604977740595775
2012,"NT",281,0.008395828976067405
2013,"NSW",5468,0.1588334398419799
2013,"Vic",3898,0.11322837390344508
2013,"Qld",3719,0.1080288154301981
2013,"WA",1802,0.052344158484866087
2013,"SA",1063,0.030877824899785047
2013,"Tas",278,0.008075291930517632
2013,"ACT",308,0.008946726311508743
2013,"NT",258,0.007494335676523558
2013,"NSW",5953,0.1729216290013362
2013,"Vic",3886,0.11287980015104862
2013,"Qld",4102,0.11915412769418463
2013,"WA",1673,0.04859699064660431
2013,"SA",1158,0.0336373671062569
2013,"Tas",292,0.008481961308313484
2013,"ACT",265,0.007697670365421484
2013,"NT",303,0.008801487248010225
2014,"NSW",5622,0.1612782925499871
2014,"Vic",4237,0.12154680283427523
2014,"Qld",3743,0.10737542671906825
2014,"WA",1609,0.046157376861068876
2014,"SA",1225,0.03514157032617115
2014,"Tas",333,0.009552769729481625
2014,"ACT",278,0.007974984939327003
2014,"NT",289,0.008290541897357928
2014,"NSW",5691,0.16325769528672654
2014,"Vic",4286,0.12295246564732207
2014,"Qld",3982,0.1142316188071947
2014,"WA",1545,0.04432140910525259
2014,"SA",1156,0.03316216758943171
2014,"Tas",313,0.008979029805789036
2014,"ACT",264,0.00757336699274219
2014,"NT",286,0.008204480908804039
2015,"NSW",5621,0.1548228942874456
2015,"Vic",4532,0.12482785214565086
2015,"Qld",4082,0.11243320663251254
2015,"WA",1587,0.04371178317633449
2015,"SA",1180,0.03250151490111827
2015,"Tas",345,0.009502561560072715
2015,"ACT",336,0.00925466864980995
2015,"NT",323,0.008896601112763731
2015,"NSW",5463,0.15047099652949925
2015,"Vic",4666,0.12851870214289648
2015,"Qld",4224,0.11634440588332506
2015,"WA",1596,0.04395967608659725
2015,"SA",1287,0.035448686167575606
2015,"Tas",332,0.009144494023026497
2015,"ACT",364,0.01002589103729411
2015,"NT",368,0.010136065664077563
2016,"NSW",5776,0.1510420752595382
2016,"Vic",5200,0.13597970764362857
2016,"Qld",4268,0.11160796004288591
2016,"WA",1508,0.039434115216652285
2016,"SA",1370,0.0358254229753406
2016,"Tas",330,0.00862948144661489
2016,"ACT",335,0.008760231165502994
2016,"NT",311,0.008132632514840093
2016,"NSW",5698,0.14900237964488378
2016,"Vic",5160,0.13493370989252373
2016,"Qld",4434,0.11594885070997098
2016,"WA",1523,0.039826364373316596
2016,"SA",1284,0.03357652781046521
2016,"Tas",327,0.008551031615282027
2016,"ACT",319,0.00834183206506106
2016,"NT",398,0.01040767762349311
2017,"NSW",5600,0.14535260985802165
2017,"Vic",5448,0.14140732473330392
2017,"Qld",4420,0.11472473849508137
2017,"WA",1616,0.041944610273314815
2017,"SA",1313,0.03407999584706829
2017,"Tas",338,0.008773068237859163
2017,"ACT",337,0.008747112414670232
2017,"NT",296,0.007682923663924001
2017,"NSW",5416,0.1405767383912581
2017,"Vic",5346,0.1387598307680328
2017,"Qld",4714,0.12235575051262751
2017,"WA",1579,0.04098424481532432
2017,"SA",1081,0.028058244867235963
2017,"Tas",321,0.008331819243647313
2017,"ACT",295,0.007656967840735069
2017,"NT",407,0.010564020037895501
2018,"NSW",4917,0.1270017563797913
2018,"Vic",5901,0.15241760512449634
2018,"Qld",4547,0.11744498398594896
2018,"WA",1639,0.042333918793263765
2018,"SA",1216,0.03140820332678996
2018,"Tas",372,0.009608430622998244
